id,name,trade_name,business_name,address,city,county,zip_code,website,lcb_license_id,status,has_online_menu,dutchie_slug,jane_store_id,leafly_slug,posabit_merchant,weedmaps_slug,notes
836549ed-e5c8-4be0-9c4a-2e30f1da1f25,LEGAL MARIJUANA SUPERSTORE,LEGAL MARIJUANA SUPERSTORE,,3610 BETHEL RD SE,PORT ORCHARD,KITSAP,,https://cannabisshop.com/stores/legal-marijuana-superstore/,a5182577-f27f-4bad-a20a-4b01bd0ebde8,active,true,,,,,,
2fdfebac-b4c2-4138-8cd4-24e2c8588c0e,HWY 420,HWY 420,,19740 VIKING AVE NW,POULSBO,KITSAP,,https://www.hwy420.xyz/blog/locations/poulsbo-dispensary/,8d50b067-bdd6-4e44-88ce-334dfd30def1,active,true,,,,,,
07bbfa8a-abe5-46bb-bca2-6972a91df32d,HASHTAG CANNABIS,HASHTAG CANNABIS,,7829 LEARY WAY NE,REDMOND,KING,,https://seattlehashtag.com/,c122832a-5ba5-4b11-a3fe-61ee40f00278,active,true,hashtag-leary,,,,,
785d6476-8180-433f-8529-081bd5a8333a,DANKS,DANKS,,14300 SE PETROVITSKY RD STE C,RENTON,KING,,https://dankswarehouse.com/,1e8d5072-235d-4a66-b241-ea93977f7c8b,active,true,,,,,,
471ee128-bead-46ec-a7ff-386d070dfdc8,ORIGINS CANNABIS,ORIGINS CANNABIS,,4822 CALIFORNIA AVE SW STE A,SEATTLE,KING,,https://originscannabis.com/locations/seattle,b5b5ae12-19ad-45fa-8363-c1a6e0bedf99,active,true,,,,,,
07f4088a-02ac-4c63-9c3f-c6457ff81386,POT SHOP,POT SHOP,,1628 DEXTER AVE N STE A,SEATTLE,KING,,https://www.potshopseattle.co/,4bf4a3e5-ca96-437a-ae0e-1a628b1a38c1,active,true,,,,,,
7784223f-97f2-4ddb-8e96-867cbb52f73d,SMUGGLER BROTHERS,SMUGGLER BROTHERS,,1912 STATE ROUTE 20,SEDRO WOOLLEY,SKAGIT,,https://www.smugglerbrothers.com/,8f2da459-df42-44fc-8c8c-69623d8568db,active,true,,,,,,
018fb8c4-3a93-4fe0-baa9-d544baa2d217,SUNSETS CANNABIS,SUNSETS CANNABIS,,22190 N US HIGHWAY 101,SHELTON,MASON,,https://sunsets420.com/order-online/,747aef7d-e348-4932-9fd6-84af34f1ebb7,active,true,,,,,,
7ebad716-bd83-494b-8ded-2a8b1b0809e9,CANNABIS PROVISIONS INC.,CANNABIS PROVISIONS INC.,,938 N 200TH ST STE C,SHORELINE,KING,,https://www.cannabisprovisionsinc.com/,15625b5a-47aa-4cb5-82df-6f029fe05809,active,true,,,,,,
5cccf817-ea56-454d-83fb-828bb74124b2,KUSHKLUB,KUSHKLUB,,20019 AURORA AVE N UNIT B,SHORELINE,KING,,https://kushklub.com/locations/shoreline-dispensary,511ea6f1-019c-4f10-9efd-203b10bc3496,active,true,kushklub-shoreline-dutchie-plus,,,,,
97f549ae-2d28-4ef4-a772-55a5adc89c10,HWY 420,HWY 420,,11493 CLEAR CREEK RD,SILVERDALE,KITSAP,,https://www.hwy420.xyz/,291f5b79-a01d-4c1e-87ce-c85f64bbc33a,active,true,,,,,,
b298a558-3f8b-4bcf-a079-0995e51660c3,4:20 FRIENDLY,4:20 FRIENDLY,,1515 LEWIS ST,SPOKANE,SPOKANE,,https://four-twentyfriendly.com/,41aa548b-952b-45e7-86e0-b2e490dd0619,active,true,,,,,,
386aa229-8ce0-4150-84f9-6010e2437a3e,DAVE'S PLACE,DAVE'S PLACE,,10 MAPLE GROVE RD,SUNNYSIDE,YAKIMA,,https://wheresweed.com/washington/sunnyside/marijuana-dispensaries/daves-place,a4f299c7-cc4c-4aad-9ab8-507fd4e3e7ca,active,true,,,,,,
b39ae91b-79d0-4e25-9cde-0b1be017b9b4,CRAFT TACOMA,CRAFT TACOMA,,2128 S 37TH ST,TACOMA,PIERCE,,https://www.craftcannabis.com/locations/tacoma-dispensary/,e3b5cc6a-cab0-4f50-b2fa-690d201dc5a0,active,true,,,,,,
bd1ead00-0720-4f63-bf14-6ad702c37217,DANK’S TACOMA,DANK’S TACOMA,,2632 S 38TH ST STE A,TACOMA,PIERCE,,https://dankswarehouse.com/menu/tacoma/,eef014e4-930b-4739-a452-f42126b6b7ee,active,true,,,,,,
313fc0eb-1b0b-49bf-a4c7-827151f4e73b,CRAFT CANNABIS,CRAFT CANNABIS,,6515 E MILL PLAIN BLVD,VANCOUVER,CLARK,,https://www.craftcannabis.com/,481156fb-b478-4ad3-b281-5d6cd3e43d9c,active,true,,,,,,
0e4d6267-031b-4dd2-a62c-928be7b3edea,CRAFT CANNABIS,CRAFT CANNABIS,,1510 N WENATCHEE AVE,WENATCHEE,CHELAN,,https://www.craftcannabis.com/locations/wenatchee-dispensary/,ce6a9df0-5603-4048-afa0-86a9d5a6cedb,active,true,,,,,,
06853020-a7b0-4d6c-a484-71cee09014e6,CRAFT WENATCHEE,CRAFT WENATCHEE,,907 N WENATCHEE AVENUE STE B,WENATCHEE,CHELAN,,https://www.craftcannabis.com/locations/wenatchee-dispensary/,3487359a-fdcc-4f92-8756-b76f643eea6b,active,true,,,,,,
d721dbc0-5ff4-4e9e-8d26-75eae90e35a5,THE EVERGREEN EGG,THE EVERGREEN EGG,,122 SE 1ST ST,WINLOCK,LEWIS,,"https://www.chronline.com/stories/the-evergreen-egg-owner-of-new-smoke-shop-in-winlock-currently-seeking-retail-cannabis-license,390219",310b134c-f8cf-4c15-b911-ed8530a345c0,active,true,,,,,,
5cecca8f-0637-4c6c-9c85-72bbfb79d686,20AFTER4,20AFTER4,,1511 N GOERIG ST,WOODLAND,COWLITZ,,https://www.20after4wa.com/,742d4ad3-8604-4441-b2f3-83efb4eabe80,active,true,,,,,,
c9b6ede3-bd9b-4359-a438-d36a6181c868,FOXX ENTERPRISES LLC,FOXX ENTERPRISES LLC,,5655 GUIDE MERIDIAN STE C,BELLINGHAM,WHATCOM,,,aca092f3-d79f-4052-8993-df3b3bf35524,active,true,,,,,,
c7013c86-09db-48bd-8c0e-6cebffd48e2e,CANNABIS COAST FORKS,CANNABIS COAST FORKS,,362 LA PUSH RD,FORKS,CLALLAM,,,cde1e879-7fe1-4499-af5b-74f594b02c86,active,true,,,,,,
c2ec57fa-ab68-4f11-a958-9f2c120ea882,"CANNAZEN, LLC","CANNAZEN, LLC",,257 ENGH RD,OMAK,OKANOGAN,,,2ec5d5ea-675b-4775-ae26-c2d5eed45cb0,active,true,,,,,,
1e86d319-aff3-4221-a692-c9ba537747f3,"THE SAGE SHOP, LLC","THE SAGE SHOP, LLC",,33607 US HIGHWAY 97 STE B,OROVILLE,OKANOGAN,,,5dafb457-0023-407a-8d3f-e6e4c4f821a6,active,true,,,,,,
ebf9b984-83b6-4a57-b288-50558f06ba6e,III KING COMPANY,III KING COMPANY,,12925 MARTIN LUTHER KINGJR WAY,SEATTLE,KING,,,603f34f4-c1ee-4729-a920-5467c21f1895,active,true,,,,,,
01b941be-e694-4cfe-9431-078b4016fb07,GREENHAND,GREENHAND,,2424 N MONROE STREET,SPOKANE,SPOKANE,,,9523c23d-ffb4-4faf-8013-d66ea3875f0d,active,true,,,,,,
70575bc0-bf1b-4c11-b08e-aea89afe2cb8,DASH & WRIGLEY LLC,DASH & WRIGLEY LLC,,13003 TUKWILA INTERNATIONAL BL,TUKWILA,KING,,,29440856-f02f-4a44-a34f-706715f32882,active,true,,,,,,
